sector,frequency,n_obs,arch_lm_stat,arch_lm_pvalue,has_arch
XLC,daily,1977,423.284868804185,2.8359652329201078e-89,True
XLY,daily,2848,514.8838887452516,4.889842643399614e-109,True
XLP,daily,2848,1148.9351044510722,3.375262770693053e-246,True
XLE,daily,2848,590.5513032984014,2.2249663383954014e-125,True
XLF,daily,2848,919.780116498685,1.3933043621123288e-196,True
XLI,daily,2848,819.927714725586,5.649749273309323e-175,True
XLB,daily,2848,723.2927422389473,4.514053104647991e-154,True
XLK,daily,2848,591.0666187091543,1.7218305360386668e-125,True
XLV,daily,2848,934.373857773368,9.666922500277076e-200,True
XLU,daily,2848,1125.6953615855255,3.64304964493087e-241,True
XLRE,daily,2655,760.4744922122846,4.1041205371331356e-162,True
