sector,frequency,n_obs,nlags,arch_lm_stat,arch_lm_pvalue,has_arch
XLC,monthly,95,5,5.242844535724882,0.3869677280325402,False
XLY,monthly,136,5,19.499689257181444,0.0015507167923839108,True
XLP,monthly,136,5,3.6308878471630104,0.6036816673237215,False
XLE,monthly,136,5,15.390568476035707,0.008817575662271822,True
XLF,monthly,136,5,4.147532608433841,0.5283764655279141,False
XLI,monthly,136,5,6.637311267135781,0.24904097257781058,False
XLB,monthly,136,5,11.072234896292256,0.049966439801784286,True
XLK,monthly,136,5,12.47275051393519,0.028853880794078215,True
XLV,monthly,136,5,1.747032093003821,0.8829220523271024,False
XLU,monthly,136,5,1.6382846735567251,0.896581260542349,False
XLRE,monthly,127,5,5.2870699128768,0.38185936898945416,False
