date,holding_month,top_holdings,top_weights,predicted_portfolio_return,forecast_portfolio_vol,gross_ret,net_ret,turnover
2020-01-31,2020-02-29,XLP|XLU|XLB,0.239|0.239|0.239,0.021278263301005428,0.11999999999999998,-0.0016348826294240112,-0.002232511845449838,0.5976292160258271
2020-02-29,2020-03-29,XLF|XLV|XLU,0.129|0.129|0.129,0.00830551509914424,0.12,-0.059626898369177374,-0.060110852012302936,0.48395364312556305
2020-03-31,2020-04-30,XLP|XLB|XLRE,0.051|0.051|0.051,-3.776552568489328e-05,0.12,-0.030575753149268498,-0.030830610716247434,0.2548575669789379
2020-04-30,2020-05-30,XLP|XLV|XLU,0.134|0.134|0.134,0.002155579304820582,0.12000000000000001,0.06381757642384471,0.06357324542880957,0.2443309950351426
2020-05-31,2020-06-30,XLP|XLB|XLV,0.147|0.147|0.147,0.00506316438175634,0.12,0.0341180234375006,0.03395281882635106,0.16520461114953938
2020-06-30,2020-07-30,XLP|XLU|XLB,0.118|0.118|0.118,0.0027499887130704812,0.11999999999999998,-0.007949439456791487,-0.008130435395211733,0.1809959384202466
2020-07-31,2020-08-31,XLC|XLU|XLP,0.169|0.169|0.169,0.004333470173682059,0.12000000000000001,0.0562457442259286,0.05593807142891394,0.307672797014664
2020-08-31,2020-09-30,XLU|XLP|XLV,0.180|0.180|0.180,0.014841360517158453,0.11999999999999998,0.03709803957192212,0.03684642034121748,0.2516192307046392
2020-09-30,2020-10-30,XLP|XLV|XLU,0.135|0.135|0.135,0.005437736460309257,0.12,-0.008000329829917333,-0.008229343365155815,0.22901353523848253
2020-10-31,2020-11-30,XLP|XLV|XLU,0.133|0.133|0.133,0.004351216403611465,0.11999999999999998,-0.007332078404761628,-0.007390601330156249,0.05852292539462077
2020-11-30,2020-12-30,XLU|XLY|XLP,0.174|0.174|0.174,0.009801014974485784,0.12,0.057441704687936045,0.0572060447767647,0.23565991117134596
2020-12-31,2021-01-31,XLY|XLV|XLP,0.184|0.184|0.184,0.015622519119347054,0.12000000000000001,0.01361436101097943,0.01349349012069644,0.12087089028298986
2021-01-31,2021-02-28,XLP|XLV|XLU,0.137|0.137|0.137,0.008582683788728947,0.11999999999999998,-0.009519752107311626,-0.0098330224141341,0.31327030682247403
2021-02-28,2021-03-28,XLC|XLP|XLV,0.150|0.150|0.150,0.006565631857041273,0.11999999999999998,-0.0012702101174311667,-0.0014409907933630515,0.17078067593188484
2021-03-31,2021-04-30,XLP|XLU|XLV,0.153|0.153|0.153,0.010124136943234618,0.12,0.0526064021527743,0.05229938052779018,0.30702162498412067
